239,138,424,597
(347,159),(315,148),(284,158)
(284,158),(272,200),(283,240)
(283,240),(312,248),(345,238)
(345,238),(359,199),(347,159)
(355,184),(362,176),(369,184)
(369,184),(363,191),(355,184)
(312,249),(312,327),(312,426)
(312,426),(352,456),(384,488)
(384,488),(376,542),(368,586)
(368,586),(385,583),(401,580)
(311,428),(301,474),(295,506)
(295,506),(274,535),(248,564)
(248,564),(268,571),(287,578)
(312,288),(339,323),(367,362)
(367,362),(393,347),(419,331)
(311,290),(280,320),(251,346)
(251,346),(270,367),(290,389)
